Id,TestData,len,datetime,open,high,low,close,volume,openinterest,label,prediction,RandomSentimentStrat,len,datetime,Broker,len,cash,value,BuySell,len,buy,sell,Trades - Net Profit/Loss,len,pnlplus,pnlminus
61,TestData,61,2020-03-02 23:59:59.999989,8563.2646484375,8921.30859375,8532.630859375,8869.669921875,8869.669921875,42857674409.0,-1.0,-1.0,RandomSentimentStrat,61,737486.9999999999,Broker,61,123268.69645318709,67761.67555777621,BuySell,61,,,Trades - Net Profit/Loss,61,,

62,TestData,62,2020-03-03 23:59:59.999989,8865.3876953125,8901.5986328125,8704.990234375,8787.7861328125,8787.7861328125,42386715821.0,-1.0,-1.0,RandomSentimentStrat,62,737487.9999999999,Broker,62,177639.31442390542,67650.14170499313,BuySell,62,,9035.122612304687,Trades - Net Profit/Loss,62,,

63,TestData,63,2020-03-04 23:59:59.999989,8788.5419921875,8843.3662109375,8712.431640625,8755.24609375,8755.24609375,34746706368.0,-1.0,1.0,RandomSentimentStrat,63,737488.9999999999,Broker,63,177639.31442390542,68057.41743094209,BuySell,63,,,Trades - Net Profit/Loss,63,,

64,TestData,64,2020-03-05 23:59:59.999989,8760.28515625,9142.0546875,8757.25390625,9078.7626953125,9078.7626953125,39698054597.0,-1.0,-1.0,RandomSentimentStrat,64,737489.9999999999,Broker,64,177639.31442390542,64008.23794148801,BuySell,64,,,Trades - Net Profit/Loss,64,,

65,TestData,65,2020-03-06 23:59:59.999989,9078.30859375,9167.6953125,9032.0791015625,9122.5458984375,9122.5458984375,40826885651.0,-1.0,-1.0,RandomSentimentStrat,65,737490.9999999999,Broker,65,177639.31442390542,63460.241185772524,BuySell,65,,,Trades - Net Profit/Loss,65,,

66,TestData,66,2020-03-07 23:59:59.999989,9121.6005859375,9163.220703125,8890.744140625,8909.9541015625,8909.9541015625,36216930370.0,-1.0,1.0,RandomSentimentStrat,66,737491.9999999999,Broker,66,177639.31442390542,66121.07014903096,BuySell,66,,,Trades - Net Profit/Loss,66,,

67,TestData,67,2020-03-08 23:59:59.999989,8908.2060546875,8914.34375,8105.2529296875,8108.1162109375,8108.1162109375,39973102121.0,-1.0,1.0,RandomSentimentStrat,67,737492.9999999999,Broker,67,177639.31442390542,76156.98646647726,BuySell,67,,,Trades - Net Profit/Loss,67,,

68,TestData,68,2020-03-09 23:59:59.999989,8111.146484375,8177.79345703125,7690.09814453125,7923.64453125,7923.64453125,46936995808.0,-1.0,-1.0,RandomSentimentStrat,68,737493.9999999999,Broker,68,177639.31442390542,78465.86007039173,BuySell,68,,,Trades - Net Profit/Loss,68,,

69,TestData,69,2020-03-10 23:59:59.999989,7922.14697265625,8136.9453125,7814.76318359375,7909.7294921875,7909.7294921875,42213940994.0,-1.0,-1.0,RandomSentimentStrat,69,737494.9999999999,Broker,69,177639.31442390542,78640.02266512318,BuySell,69,,,Trades - Net Profit/Loss,69,,

70,TestData,70,2020-03-11 23:59:59.999989,7910.08984375,7950.814453125,7642.8125,7911.43017578125,7911.43017578125,38682762605.0,-1.0,-1.0,RandomSentimentStrat,70,737495.9999999999,Broker,70,177639.31442390542,78618.73666900242,BuySell,70,,,Trades - Net Profit/Loss,70,,

71,TestData,71,2020-03-12 23:59:59.999989,7913.6162109375,7929.1162109375,4860.35400390625,4970.7880859375,4970.7880859375,53980357243.0,1.0,-1.0,RandomSentimentStrat,71,737496.9999999999,Broker,71,177639.31442390542,115424.2285000618,BuySell,71,,,Trades - Net Profit/Loss,71,,

